listing_id,title,description,listing_type,property_type,category_original,district,location,address,price_lkr,price_basis,sale_total_price_lkr,rent_monthly_lkr,bedrooms,bathrooms,land_size_perches,house_size_sqft,property_size_sqft,land_type,property_subtype,features,posted_date,deactivation_date,geo_region,is_verified,membership_level,member_since,contact_number
residential-land-for-sale-in-kottawa-for-sale-colombo-70,Residential land for sale in kottawa,🟢 kottawa Lands starting from 6perches onward ✅ Ideal land for investment or to build your dream home. ✅ Located only 10 minutes from kottawa town and Homagama town....,sale,land,Land,Colombo,Kottawa,kottawa road dolekade,1550000.0,per_perch,11005000.0,,,,7.1,,,"Residential, Other",,,2022-11-21,2022-12-29,LK-11,true,premium,July 2022,Not mentioned in ad
for-rent-for-rent-kandy-661,Warehouse for Rent in Nattharampotha,150sqft store room For rent,rent,commercial,Commercial Property Rentals,Kandy,Kundasale,"No:42/1,Arangala, Nattharampotha.",6000.0,per_month,,6000.0,,,,,150.0,,Warehouse / Storage,,2022-11-27,2023-01-26,LK-21,false,free,,Not mentioned in ad
2-rooms-fully-furnished-apartment-for-rent-dehiwala-capt1-2-8-for-rent-colombo,2 Rooms Fully Furnished Apartment For Rent Dehiwala (capt1/2/8),Please Note -- We Are Given Only For Families. Parties and Prostitution Prohibited • 2 Rooms Fully Furnished • 2 Attached Washrooms • 1 Common Washroom • Master B...,rent,holiday_rental,Holiday & Short-Term Rental,Colombo,Dehiwala,1/8 Mihindu Road Dehiwala,9000.0,per_night,,,2,3,,,,,Apartment,,2023-02-01,2023-04-02,LK-11,false,premium,August 2022,Not mentioned in ad
best-lands-for-sale-in-hanwella-for-sale-colombo-10,Best lands for sale in Hanwella,හංවැල්ල නගරයේ අගනා බිම් කොටස් රැසක්.. අදම ඔබේ කරගන්න. ️නේවාසික බිම්කොටස් ♣️ පුළුල් ප්‍රවේශ මාර්ගග ♣️නිරවුල් ඔප්පු ♣️විදුලිය ♣️නල ජලය ගෙවීමේ ක්‍රම -: මුලු වටිනා...,sale,land,Land For Sale,Colombo,Hanwella,"Hanwella, Dompe",275000.0,per_perch,3025000.0,,,,11.0,,,"Residential, Other",,,2023-01-12,2023-03-12,LK-11,true,premium,July 2022,Not mentioned in ad
two-story-luxury-house-rent-in-nawala-for-rent-colombo,TWO Story LUXURY House Rent In Nawala,NAWALA LUXURY TWO STORY HOUSE AVAILABLE FOR RENT. # 4 BED ROOMS # 3 BED ROOMS WITH AC # 4 BATH ROOMS WITH HOT WATER # 2800 SQFT # ALL THE FACILITIES INCLUDED # PARKIN...,rent,house,House Rentals,Colombo,Nawala,NAWALA ROAD,125000.0,per_month,,125000.0,4,4,12.0,2800.0,,,,,2023-01-19,2023-03-20,LK-11,false,premium,May 2017,Not mentioned in ad
brand-new-modern-house-for-sale-in-kottawa-piliyandala-for-sale-colombo-3,Brand New Modern House for sale in Kottawa Piliyandala,පොල්ගස්ඕවිට - කොට්ටාව පාරට ආසන්නයෙන් සියබලගොඩින් පර් 7ක ඉදිවුණු නිදන කාමර 3ක් සහ නාන කාමර 2ක් ඇති නවීනතම නිවසක් විකිණීමට. මෙය නවීන පන්නයට සැදු නිවසක් වන අතර ප්‍රධාන නිදන...,sale,house,Houses For Sale,Colombo,Kottawa,Polgasowita - Kottawa road,21000000.0,total,21000000.0,,3,2,7.0,1405.0,,,,,2023-03-07,2023-05-06,LK-11,true,premium,July 2020,Not mentioned in ad
land-for-sale-pamunugama-for-sale-gampaha-195,Land for sale Pamunugama,"නාගරික සියලු පහසුකම් සහිත පදිංචියටත් ආයෝජනයටත් වටිනා බිම්කොටස් සුපිරි වෙළෙඳසැල්, පොදු වෙළෙඳ පොළ 1km අවටින්..... රාජ්‍ය බැංකු සහ පුද්ගලික බැංකු. රටේ බොහොමයක් ප්‍රදේශ වල...",sale,land,Land,Gampaha,Ja-Ela,Pamunugama,550000.0,per_perch,3712500.0,,,,6.75,,,Residential,,,2022-11-10,2023-01-09,LK-12,true,premium,June 2021,Not mentioned in ad
diyagama-land-for-sale-for-sale-colombo-7,Diyagama - Land For Sale,ඉඩමක සිහිනයක් දකින ඔබ වෙනුවෙන්ම දියගමත් තලගලත් මැදිව 128 බස් පාරට ලගින්ම අතේ ඇති මුදලට වැසි රැසකට,sale,land,Land For Sale,Colombo,Homagama,Diyagma,3920000.0,total,3920000.0,,,,6.0,,,"Agricultural, Commercial, Residential, Other",,,2023-02-07,2023-04-08,LK-11,true,premium,June 2021,Not mentioned in ad
luxury-2-story-house-for-sale-with-furniture-piliyandala-kesbewa-for-sale-colombo-4,Luxury 2 Story house for sale with furniture - Piliyandala Kesbewa,"Luxury 2 Story House for sale in Makandana - Piliyandala. 6.7 perches land, 3 Bedrooms 2 bathrooms (Master bedroom has attached bathroom). Garden wall surrounded. roller...",sale,house,Houses For Sale,Colombo,Piliyandala,Makandana,25500000.0,total,25500000.0,,3,2,6.7,1858.0,,,,,2023-01-31,2023-04-01,LK-11,true,premium,July 2020,Not mentioned in ad
beliatt-nv-iddm-kotts-kr-vikinniimtt-for-sale-hambantota,බෙලිඅත්ත නව ඉඩම කොටස් කර විකිණීමට,බෙලිඅත්ත නව ඉඩම විකිණීමට අරංවල පාසල අසල නව කැබලි කල ඉඩම විකිණීමට පොලී රහිතව මාස 30 ක් දක්වා ගෙවන්න ගන්න දැන්ම අමතන්න,sale,land,Land For Sale,Hambantota,Beliatta,බෙලිඅත්ත,200000.0,per_perch,2000000.0,,,,10.0,,,Residential,,,2022-12-13,2023-02-11,LK-33,false,premium,August 2021,Not mentioned in ad
viittu-virrpnnnaikku-for-sale-kilinochchi,House For Sale-kilinochchi,good place paranthan sivapuram 3 room and hall and கிச்சின் town to 2 km best price call me,sale,house,Houses For Sale,Kilinochchi,Kilinochchi City,paranthan,2600000.0,total,2600000.0,,3,1,4.0,1089.0,,,,,2022-12-24,2023-02-21,LK-42,false,free,,Not mentioned in ad
room-and-annex-for-rent-kurunegala,Room for Rent in Kuliyapitiya,"කුලියාපිටිය නගරය විනාඩි 5යි. ගැහැණු ළමුන් හෝ පිරිම් ළමුන් ට කාමර පහසුකම් ඇත. තනි කාමරයක් නම් 8000/= , දෙදෙනකු සදහා නම් 12500/=",rent,room_annex,Room & Annex Rentals,Kurunegala,Kuliyapitiya,කුලියාපිටිය,8000.0,per_month,,8000.0,1,1,,,,,Portion,"Private entrance, Lower, Upper",2023-01-11,2023-03-12,LK-61,false,free,,Not mentioned in ad
valuable-2-store-house-for-sale-in-homagama-pr653-for-sale-colombo,Valuable 2 Store House for Sale in Homagama (PR653),(PR653)VALUBLE 2 Store HOUSE FOR SALE IN HOMAGAMA Layanal jayasenha mw Araliya laef Homagama godagama Road HIGHLY RESIDENTIAL AREA Face to 20 Feet Road. ◼ 3 BEDROOM...,sale,house,Houses For Sale,Colombo,Homagama,Homagama godagama Road,18000000.0,total,18000000.0,,3,2,6.0,1900.0,,,,,2022-11-24,2023-01-20,LK-11,true,premium,November 2022,Not mentioned in ad
residential-lands-in-kiriwathuduwe-for-sale-colombo,Residential lands in kiriwathuduwe,Commercial or Residential Lands plots in kiriwathuduwe homagama Kiriwathuduwe 1.5km Abagashandiya bus route facing Diyagama town 2.5km 30 feat road. Electricity Tele...,sale,land,Land,Colombo,Homagama,abagashandiya kiriwathuduwe homagama,650000.0,per_perch,4225000.0,,,,6.5,,,"Commercial, Residential, Other",,,2022-11-18,2023-01-17,LK-11,true,premium,November 2019,Not mentioned in ad
fully-furnished-holiday-home-at-ratnapura-town-for-rent-ratnapura,Fully Furnished Holiday Home at Ratnapura Town,"Beautiful fully furnished house located in the heart of a forest reserve in Rathnapura. 5 minute walk to the Cargills supermarket and a wide range of restaurants, banks...",rent,holiday_rental,Holiday & Short-Term Rental,Ratnapura,Ratnapura City,,8500.0,per_night,,,2,2,,,,,Holiday bungalow,,2022-12-10,2023-02-06,LK,false,free,,Not mentioned in ad
1st-floor-house-for-rent-in-dehiwale-for-rent-colombo-25,1st Floor House For Rent in Dehiwale,Upstairs House For Rent in Dehiwale Liyanage Road 3.Bedroom 2.Bathroom Kitchen and living Area With Car Park Advance 06 Months Half Months Broker Fee,rent,house,House Rentals,Colombo,Dehiwala,Liyanage Road Dehiwale,76000.0,per_month,,76000.0,3,2,7.0,1400.0,,,,,2023-02-13,2023-04-14,LK-11,false,premium,June 2019,Not mentioned in ad
162-bnnddaargm-kollmb-bs-paartt-500m-k-nudurin-agnaa-neevaasik-bim-kotts-for-sale-kalutara,162 බණ්ඩාරගම - කොළඹ බස් පාරට 500m ක් නුදුරින් අගනා නේවාසික බිම් කොටස්.,කැස්බෑව සහ බණ්ඩාරගම නගර දෙක අතරමැදිව සොඳුරු පරිසරයක 162 බණ්ඩාරගම - කොළඹ බස් පාරට 500m ක් නුදුරින් අගනා නේවාසික බිම් කොටස්. කහතුඩුව හා ගැලනිගම අධිවේගී පිවිසුම් මාර්ග වලට ව...,sale,land,Land For Sale,Kalutara,Bandaragama,Kesbewa-Kidelpitiya,590000.0,per_perch,5900000.0,,,,10.0,,,Residential,,,2023-01-23,2023-03-24,LK,true,premium,August 2019,Not mentioned in ad
ap110-175-p-land-with-old-single-story-house-sale-at-nugegoda-for-sale-colombo,(AP110) 17.5 P Land with Old Single Story House Sale at Nugegoda,17.5 P Land With Old single Story House Sale At 20 Feet By Road Chappel Lane Nugegoda….. 🌞Ideal for Luxury House / Residence Office / Work.... 🌞20 Feet Road Facing…....,sale,land,Land For Sale,Colombo,Nugegoda,20 Feet By Road Chappel Lane Nugegoda…..,4000000.0,per_perch,70000000.0,,,,17.5,,,"Commercial, Residential, Other",,,2023-02-18,2023-04-19,LK-11,true,premium,July 2016,Not mentioned in ad
land-for-sale-piliyandala-for-sale-colombo-3862,Land For Sale - Piliyandala,"පිළියන්දල නගරෙයේ සියලු පහසුකම් සහිත නේවාසික🏠️ බිම් කොටස්, 🌱 පිළියන්දල නගරයටම 2 km. 🌱 මොරටුව නගරය 5km 🌱 හැඩිගම - පිළියන්දල බස් පාරට මුහුණලා 🌱 නව හැදිගම පාරට 300 m. �...",sale,land,Land For Sale,Colombo,Piliyandala,Piliyandala Swariyapola,1100000.0,per_perch,7425000.0,,,,6.75,,,"Commercial, Residential, Other",,,2023-03-08,2023-05-07,LK-11,false,premium,February 2023,Not mentioned in ad
annex-for-girls-for-rent-colombo-12,Annex for Girls in Kotikawatta,Upstairs house three large bed rooms... Looking for students or group members..,rent,room_annex,Room & Annex Rentals,Colombo,Angoda,kotikawatta,8000.0,per_month,,8000.0,3,1,,,,,Annex,Upper,2022-12-02,2023-01-31,LK-11,false,free,,Not mentioned in ad
land-for-sale-maedgm-ngr-siimaavee-for-sale-monaragala,Land For Sale - මැදගම නගර සීමාවේ,මිගහවගුර පාරට මුහුණලා බිබිල මොණරාගල ප්‍රධාන පාරට මීටර් 10-15 දුරකින් පිහිටා ඇති මෙම ඉඩම මැදගම පාසල හා මැදගම ප්‍රාදේසීය ලේකම් කාර්යාලය අතර මැද පිහිටා ඇත.,sale,land,Land For Sale,Monaragala,Bibile,ගලගොඩ නිවස ඉදිරිපිට,350000.0,per_perch,5425000.0,,,,15.5,,,"Commercial, Residential",,,2023-01-22,2023-03-18,LK,false,free,,Not mentioned in ad
land-for-sale-in-katunayaka-for-sale-gampaha-273,Land for sale in Katunayaka,5 km to Katunayake International Airport. 3.8 km to Aweriyawatha town. 30 m to 245/1 bus route. Precious plots with all urban amenities.,sale,land,Land For Sale,Gampaha,Katunayake,Land for sale in Katunayaka,355000.0,per_perch,3550000.0,,,,10.0,,,Residential,,,2022-12-03,2023-02-01,LK-12,true,premium,July 2022,Not mentioned in ad
g-048-valuable-1025p-land-for-sale-in-kadawatha-for-sale-gampaha,(G/048) Valuable 10.25P Land For Sale In Kadawatha,(G/048) ⭕ සියලු විස්තර හොදින් කියවා අමතන්න. 👇 ⭕ කඩවත නගරයට නුදුරින් ඉඩමක් විකිණීමට. ◼️ අඩි 12 පුළුල් ප්‍රවේශ මාර්ගය. ◼️ ඉඩම පර්චස් 10.25 යි. ◼️ කඩවත - ගනේමුල්ල (223)...,sale,land,Land For Sale,Gampaha,Kadawatha,"Ganemulla Rd, Kadawatha",1000000.0,per_perch,10250000.0,,,,10.25,,,Residential,,,2023-01-21,2023-03-21,LK-12,true,premium,July 2022,Not mentioned in ad
vtteegm-prdhaan-paaren-iddmk-for-sale-kandy,වත්තේගම ප්‍රධාන පාරෙන් ඉඩමක්,"වත්තේගම පන්විල ප්‍රධාන පාරට මුහුණලා ගල්පිහිල්ල රජයේ රෝහලට නුදුරින්, හුන්නස්ගිරි කඳු මුදුනේ මනස්කාන්ත දර්ශනයක් ඇති වසර පුරාවටම උතුරා යන දිය උල්පත් ළිඳක් සහිත අගනා ඉඩම්...",sale,land,Land,Kandy,Wattegama,,700000.0,total,700000.0,,,,10.0,,,Residential,,,2022-11-16,2023-01-15,LK-21,false,free,,Not mentioned in ad
apartment-for-rent-for-rent-anuradhapura-1,Apartment for Rent Anuradhapura,"4 Bed rooms 2 separate bathrooms Living room Dining room Kitchen 750m to the Teaching Hospital. Separate car park, calm surroundings.",rent,apartment,Apartment Rentals,Anuradhapura,Anuradhapura City,,45000.0,per_month,,45000.0,4,2,,,1300.0,,,,2022-11-01,2022-12-31,LK-71,false,free,,Not mentioned in ad
house-for-rent-for-rent-polonnaruwa-76,House for Rent පොලොන්නරුව,Bedroom 3 Bathroom 1 Kitchen 1 Outside toilet & bathroom 1 පරාක්‍රම සමුද්‍රය ඉදිරිපිට සුන්දර පරිසරයක පිහිටා ඇත. චමරියකට වුවත් සුදුසුය. වාහන නැවැත්වීමට ඉඩ පහසුකම් ඇත.,rent,house,House Rentals,Polonnaruwa,Polonnaruwa City,"අංක 110, පැතුම් නිවස, වැව පාර, නවනගරය, පොලොන්නරුව",30000.0,per_month,,30000.0,3,1,20.0,2000.0,,,,,2022-11-27,2023-01-25,LK-72,false,free,,Not mentioned in ad
land-with-house-for-sale-in-welipara-thalawathugoda-for-sale-colombo,Land with House for Sale in Welipara Thalawathugoda,"Land with one story building including 3bedrooms, kitchen, one bathroom and living area 700 meters to Thalawathugoda junction 1km to Hemas Hospital Thalawathugoda and Sr...",sale,land,Land For Sale,Colombo,Talawatugoda,"485/A/1 Welipara, Thalawathugoda",70000000.0,total,70000000.0,,,,30.0,,,Residential,,,2023-03-12,2023-05-11,LK-11,false,free,,Not mentioned in ad
lands-for-sale-in-hanwella-for-sale-colombo-5,lands for Sale in Hanwella,හංවැල්ල නගරයේ අගනා බිම් කොටස් රැසක්.. අදම ඔබේ කරගන්න. 1.ව්‍යාපාරික බිම්කොටස් ️ 2.නේවාසික බිම්කොටස් 😊 පුළුල් ප්‍රවේශ මාර්ග 😊නිරවුල් ඔප්පු 😊විදුලිය 😊නල ජලය...,sale,land,Land For Sale,Colombo,Hanwella,"Samanabedda, Hanwella",335000.0,per_perch,3685000.0,,,,11.0,,,"Residential, Other",,,2023-01-28,2023-03-29,LK-11,true,premium,July 2022,Not mentioned in ad
athurugiriya-korathota-for-sale-colombo,Land for Sale Athurugiriya Korathota,නිස්කලංක පරිසරයක පිහිටා ඇති වටිනා ඉඩමක්. වෙල් යායකට මුහුනලා වට කර තාප්පයක් ගසා ඇත * ගංවතුර ආපදාවක් නැත. * අතුරුගිරිය මිලේනියම් සිටි නිවාස සංකීර්ණයේ සිට කොරතොට රජමහා...,sale,land,Land For Sale,Colombo,Athurugiriya,Athurugiriya horaketiya road korathota,810000.0,per_perch,14580000.0,,,,18.0,,,Residential,,,2023-01-12,2023-03-13,LK-11,false,free,,Not mentioned in ad
land-for-sale-in-halbarawa-for-sale-colombo-67,Land for Sale in Halbarawa,හෝමාගම හල්බරාව බස් පාරෙන් නළ ජලය තෙකලා විදුලිය පුළුල් මාර්ග පද්ධති සමග මනරම් පරිසරයකින් නේවාසික බිම් කොටස් කීපයක් පොලී රහිත පහසු ගෙවීමේ ක්‍රමයට,sale,land,Land For Sale,Colombo,Homagama,,500000.0,per_perch,5000000.0,,,,10.0,,,Residential,,,2023-02-01,2023-04-02,LK-11,true,premium,July 2021,Not mentioned in ad
two-house-code-3394-for-sale-moratuwa-for-sale-colombo,Two house (code 3394) for sale Moratuwa,TWO HOUSES ON 27.5 PERCHES LAND FACING PURAN APPU RAJA MAWATHA-MORATUWA-FOR SALE LOCATION These two houses are situated at Puran Appu Raja mawatha close to the Moratuwa...,sale,house,Houses For Sale,Colombo,Moratuwa,Puran Appu raja mw,50000000.0,total,50000000.0,,8,5,27.5,4800.0,,,,,2022-11-07,2023-01-06,LK-11,true,premium,January 2020,Not mentioned in ad
borlaesgmuv-piriven-paaren-iddmk-for-sale-colombo,බොරලැස්ගමුව පිරිවෙන පාරෙන් ඉඩමක්,බොරලැස්ගමුව පිරිවෙන පාරෙන් අගනා නේවාසික බිම් කොටස් කිහිපයක් විකිණීමට.සියලු පහසුකම් සමගින් එකවර ගෙවීමේදි විශාල වට්ටමක් ලබා ගන්න.අදම අමතන්න.,sale,land,Land,Colombo,Boralesgamuwa,බොරලැස්ගමුව,2250000.0,per_perch,20925000.0,,,,9.3,,,Residential,,,2022-11-11,2023-01-10,LK-11,true,premium,March 2022,Not mentioned in ad
land-for-sale-in-kahathuduwa-kiriwaththuduwa-for-sale-colombo-3,"Land For Sale In (KAHATHUDUWA ,KIRIWATHTHUDUWA)",♦️Electricity ♦️Water ♦️Clear Documents ♦️Good Residencial area ♦️Interest free payments method ♦️Minimum down payment ♦️30 feet Entrance & 20 feet Wide Road...,sale,land,Land For Sale,Colombo,Homagama,,3600000.0,total,3600000.0,,,,6.0,,,"Commercial, Residential, Other",,,2023-01-07,2023-03-07,LK-11,true,premium,July 2022,Not mentioned in ad
iconic-110-3-room-unfurnished-apartment-for-rent-a8357-for-sale-colombo,Iconic 110 - 3 Room Unfurnished Apartment for Rent A8357,Iconic 110 - 3 Room Unfurnished Apartment for Rent. Rajagiriya Iconic 110 Parliament Road 3 Bedrooms 3 Bathrooms Higher floor 1575 Sq ft Un-furnished Gym & pool City Vie...,sale,apartment,Apartments For Sale,Colombo,Rajagiriya,Rajagiriya,300000.0,total,300000.0,,3,3,,,1575.0,,,,2023-03-15,2023-05-14,LK-11,true,premium,May 2016,Not mentioned in ad
close-to-negombo-beach-side-villa-for-sale-with-all-furnitures-for-sale-gampaha,Close To Negombo Beach Side Villa For Sale With All Furnitures,Close To Negombo Beach Side Villa For Sale With All Furnitures ----------------------------------------------------------------- A villa with spa pool 7.6 perches 2 be...,sale,house,Houses For Sale,Gampaha,Negombo,"Eththukala, Beach Side Negombo",19500000.0,total,19500000.0,,3,2,7.6,1393.0,,,,,2023-01-09,2023-03-10,LK-12,true,premium,June 2018,Not mentioned in ad
diyathalawa-holiday-bungalow-for-rent-badulla-1,Diyathalawa Holiday Bungalow,"The bungalow is located near Diyatalawa railway station. Only 5 minutes walk and 1 km from Diyathalawa city. Has 4 bedrooms, 2 attached bathrooms and a common bathroom. K...",rent,holiday_rental,Holiday & Short-Term Rental,Badulla,Diyatalawa,,10000.0,per_night,,,4,3,,,,,Holiday bungalow,,2022-10-27,2022-12-26,LK-81,true,premium,June 2022,Not mentioned in ad
house-for-sale-morawaka-deniyaya-for-sale-matara,House for Sale Morawaka Deniyaya,"මොරවක නගරයේ කළුගල යාය කාපට් පාරට මුහුණලා පිහිටි පර්. 13.5ක අංග සම්පුරණ නිවස සහිත ඉඩම විකිනීමට ඇත මොරවක ජාතික පාසලට 900 m, නගරයට 600 m . සාලය, කාමර 3, කෑම කාමරය, කුස්සිය...",sale,house,Houses For Sale,Matara,Deniyaya,"සැනසුම, කළුගලයාය , මොරවක",5500000.0,total,5500000.0,,3,1,13.5,1800.0,,,,,2023-01-27,2023-03-27,LK,false,free,September 2021,Not mentioned in ad
brand-new-spacious-quality-house-in-polgasowita-for-sale-colombo,Brand New Spacious Quality House In Polgasowita,"✅ හොරණ කොළඹ ප්‍රධාන මාර්ගය පෙනෙන දුරින් පිහිටි නවීන විශාල නිවස 🧶 Brand New Architecture Modern Design Single Storey Hous in Polgasowita, Piliyandala.. 👍 .... Highly Re...",sale,house,Houses For Sale,Colombo,Piliyandala,හොරණ කොළඹ ප්‍රධාන පාර පෙනෙන දුර,24000000.0,total,24000000.0,,3,3,10.0,1600.0,,,,,2023-01-18,2023-03-19,LK-11,true,premium,May 2018,Not mentioned in ad
pilliyndl-khtudduv-ngryen-agnaa-neevaasik-bimkotts-for-sale-colombo,පිළියන්දල - කහතුඩුව නගරයෙන් අගනා නේවාසික බිම්කොටස්,""" PROUD LANDS "" වෙතින් පිළියන්දල - කහතුඩුව නගරයෙන් සුන්දර වෙල්යායකට මුහුණලා නිස්කලංක පරිසරයක අගනා නේවාසික බිම්කොටස් රැසක් .... පර්චසයක් 790,000 සිට... 🎖️️ නළ ජලය 🎖️️...",sale,land,Land For Sale,Colombo,Piliyandala,Kahathuduwa,790000.0,per_perch,4898000.0,,,,6.2,,,Residential,,,2022-12-20,2023-02-18,LK-11,true,plus,December 2019,Not mentioned in ad
valuable-land-for-sale-in-boralesgamuwa-bor-001-for-sale-colombo-2,Valuable Land for Sale in Boralesgamuwa - BOR 001,"highly residential area calm and quiet environment 1.5km to 120 bus road 3km from ratmalana, boralesgamuwa 2km from bokundara economic center 100m from gangarama road all...",sale,land,Land For Sale,Colombo,Boralesgamuwa,"10 Kanuwa Rd, Boralesgamuwa",1530000.0,per_perch,15300000.0,,,,10.0,,,Residential,,,2023-01-13,2023-03-14,LK-11,false,premium,December 2022,Not mentioned in ad
hornn-mtugm-bs-paaren-iddmk-vikinniimtt-for-sale-kalutara,හොරණ මතුගම බස් පාරෙන් ඉඩමක් විකිණීමට,"සුන්දර පරිසරයක ඔබේ නිවහනට අපෙන් ඉඩමක්🏠️🍃 හොරණ-මතුගම 🚎 බස් පාරට නුදුරින්,අනර්ඝතම නිස්කලංක බිම් කොටස් 🏛️ හොරණ නගරයට විනාඩි 10යි 🚌 හොරණ - මතුගම බස් පාරට පයින් යන ද...",sale,land,Land For Sale,Kalutara,Horana,Horana,180000.0,per_perch,2250000.0,,,,12.5,,,"Residential, Other",,,2023-03-19,2023-05-18,LK,true,premium,July 2022,Not mentioned in ad
bare-land-for-sale-in-colombo-09-a980-for-sale-colombo,Bare Land For Sale In Colombo 09 (A980),Property Code: A980 Location: Colombo 09 Street: Dematagoda Place Land Area: 14.5 perches Price per perches : 6.5 Million Price: Rs. 94.25 Million,sale,land,Land,Colombo,Colombo 9,,94250000.0,total,94250000.0,,,,14.5,,,Commercial,,,2022-10-25,2022-12-24,LK-11,true,premium,January 2022,Not mentioned in ad
meepe-land-for-sale-for-sale-colombo-111,Meepe Land for Sale,පාදුක්ක වග 239 බස් පාරට සමීපයෙන්ම වටිනා බිම් කොටස්.හරිතවර්නයෙන් පිරි නිස්කලන්ක පරිසරයක අගනා බිම් කොටස් සියලු නේවාසික පහසුකම් ඇත. වේවැල්පනාව හන්දියේ සිට 500m. පාදුක්ක වග...,sale,land,Land For Sale,Colombo,Padukka,,2500000.0,total,2500000.0,,,,10.0,,,"Residential, Other",,,2022-12-24,2023-02-22,LK-11,true,premium,June 2021,Not mentioned in ad
piliyandala-land-plots-for-sale-for-sale-colombo-27,Piliyandala Land Plots for Sale,"පිළියන්දල නගරෙයේ සියලු පහසුකම් සහිත නේවාසික🏠️ බිම් කොටස්, 🌱 පිළියන්දල නගරයටම 2 km. 🌱 මොරටුව නගරය 5km 🌱 හැඩිගම - පිළියන්දල බස් පාරට මුහුණලා 🌱 නව හැදිගම පාරට 300 m. �...",sale,land,Land For Sale,Colombo,Piliyandala,piliyandala,950000.0,per_perch,6650000.0,,,,7.0,,,"Commercial, Residential, Other",,,2022-12-25,2023-02-22,LK-11,true,premium,August 2020,Not mentioned in ad
warakapola-ngry-atee-durin-iddm-for-sale-kegalle,Warakapola නගරය අතේ දුරින් ඉඩම්,"නුවර පාරෙන් ආයෝජනයට/පදිoචියට හොඳම ඉඩමක් වේවැල්දෙණිය ටවුමෙන්ම! 👉 පර්චසය රු.195,000/- සිට. 💢 පොළී රහිතව මාස 24ක් දක්වා ගෙවිමේ හැකියාව සමඟ. 🟥 නුවර පාරට 400Mයි. 🟥 මිරිග...",sale,land,Land,Kegalle,Warakapola,Weweldeniya,190000.0,per_perch,2850000.0,,,,15.0,,,"Residential, Other",,,2022-11-20,2023-01-19,LK-92,false,premium,September 2022,Not mentioned in ad
moratuwa-lakshapathiya-4-bedrooms-upstair-house-for-sale-for-sale-colombo,Moratuwa Lakshapathiya 4 Bedrooms Upstair House for sale,"LOCATION Land is KMV road, off De Mel Road, Lakshapathiya, Moratuwa. Very close to Kshetharama Maha Viharaya. https://goo.gl/maps/8pRjPXRRXz154urq5 It is about fift...",sale,house,Houses For Sale,Colombo,Moratuwa,"K M V Road, Off De Mel Road, Lakshapathiya, Moratuwa",16900000.0,total,16900000.0,,4,2,12.0,2800.0,,,,,2022-11-18,2023-01-17,LK-11,true,plus,May 2018,Not mentioned in ad
se297valuable-luxury-02-story-house-for-sale-in-malabe-for-sale-colombo,(SE297)Valuable Luxury 02 Story House for Sale in Malabe,(SE297)VALUBLE LUXURY 02 STORY HOUSE FOR SALE IN MALABE HIGHLY RESIDENTIAL AREA facing 20ft road 👉 👉 👉 👉 5 BEDROOMS WITH A/C 👉 5 BATHROOM WITH HOTWATER 👉 62 PERC...,sale,house,Houses For Sale,Colombo,Malabe,MALABE,130000000.0,total,130000000.0,,5,5,62.0,5600.0,,,,,2022-10-28,2022-12-26,LK-11,true,premium,December 2020,Not mentioned in ad
2-bedrooms-with-attached-bathrooms-for-rent-for-sale-hambantota,Apartment for Rent - Tissamaharama,2 master bedrooms (Attached Bathrooms) 1 Servant Room and Bathroom,sale,apartment,Apartments For Sale,Hambantota,Tissamaharama,Deberawewa Tissamaharama,35000.0,total,35000.0,,2,2,,,1200.0,,,,2022-11-07,2023-01-06,LK-33,false,free,,Not mentioned in ad
land-for-sale-in-mount-lavinia-for-sale-colombo-643,Land for Sale in Mount Lavinia,Land for Sale in Mount Lavinia Facing Huludagoda Road 20 Feet Wide Road Access 55 Feet Road Frontage 150 Mtrs to Templer's Road There is a single-Story House that con...,sale,land,Land For Sale,Colombo,Mount Lavinia,"Huludagoda Road, Mount Lavinia",3200000.0,per_perch,64000000.0,,,,20.0,,,"Residential, Other",,,2023-03-15,2023-05-13,LK-11,true,premium,August 2016,Not mentioned in ad
homagama-residential-land-for-sale-colombo-2,Homagama Residential Land,හෝමගම නගරයෙන් නේවාසික හා ව්‍යාපාරික ඉඩමක් අමතන්න,sale,land,Land,Colombo,Homagama,Homagama,825000.0,per_perch,5775000.0,,,,7.0,,,Residential,,,2022-11-30,2023-01-24,LK-11,true,premium,July 2021,Not mentioned in ad
newly-built-house-for-sale-malabe-for-sale-colombo-8,Newly Built House for Sale-Malabe,"* 7.5 perches Land * 30 ft. Access Road * 1 Km to Kotalawala High way Enterance * paddy field, facing & water front land * Two story house with roof top * Servant room, 3...",sale,house,Houses For Sale,Colombo,Malabe,Malabe-Kothalawala,39992500.0,total,39992500.0,,4,3,7.5,3100.0,,,,,2023-01-04,2023-03-05,LK-11,false,premium,December 2020,Not mentioned in ad
