listing_id,title,description,listing_type,property_type,category_original,district,location,address,price_lkr,price_basis,sale_total_price_lkr,rent_monthly_lkr,bedrooms,bathrooms,land_size_perches,house_size_sqft,property_size_sqft,land_type,property_subtype,features,posted_date,deactivation_date,geo_region,is_verified,membership_level,member_since,contact_number
land-for-sale-in-katunayake-awariwatta-for-sale-gampaha,Land for sale in Katunayake Awariwatta,"ලෝකෙටම පිවිසෙන්න පහසුම තැන පදිංචියට හොඳම ඉඩම. කටුනායක ගුවන් තොටුපොළටත්, අපනයන සැකසුම් කලාපයටත් අධිවේගී පිවිසුමටත් විනාඩි 5කින් පිවිසෙන්න. අනාගතය ගැන හිතන ඔබේ අද දවසේ ආය...",sale,land,Land For Sale,Gampaha,Katunayake,"Katunayake, Awariwatta",340000.0,per_perch,3400000.0,,,,10.0,,,"Commercial, Residential",,,2023-02-09,2023-04-10,LK-12,true,premium,April 2019,Not mentioned in ad
krssi-aadaaym-lbn-iddmk-diirgh-kaaliinv-bdu-diimtt-for-rent-kalutara,ඉඩමක් දීර්ඝ කාලීනව බදු දීමට බුලත්සිංහල,"තේ , රබර්, පොල්, ගම්මිරිස්, කුරුදු සහ මිශ්‍ර පලතුරු වගාවන් සහිත සින්නක්කර ඉඩම දීර්ඝ කාලීනව බදු දීමට ඇත. බෝකර්වාරුන් අනවශ්‍යයි. ගැනුම්කරුවන් පමණක් අමතන්න 📱☎️📞.",rent,land,Land Rentals,Kalutara,Ingiriya,පහළ වෙල්ගම බුලත්සිංහල,1700000.0,per_year,,141666.67,,,1120.0,,,Agricultural,,,2023-01-26,2023-03-15,LK,false,free,,Not mentioned in ad
house-for-rent-in-wennappuwa-for-rent-puttalam-26,House for Rent in Wennappuwa,"House at Thomas Fernando Mawatha –Wennappuwa 4 Bead rooms, kitchen, living room, bathroom, extra room with Larger Garden Area For 30,000 per month",rent,house,House Rentals,Puttalam,Wennappuwa,"443/7 Thomas Fernando Road,Wennappuwa",30000.0,per_month,,30000.0,4,1,18.0,400.0,,,,,2022-11-19,2023-01-18,LK-62,false,free,,Not mentioned in ad
homagama-upstairs-house-for-sale-for-sale-colombo,Homagama - Upstairs House for Sale,"Gated community, Respectable neighborhood. Peaceful living area. All your needs and wants are at your fingertips. The upstairs house is ...... * Fully tiled * Living roo...",sale,house,Houses For Sale,Colombo,Homagama,Parklane Residencies - Homagama,25500000.0,total,25500000.0,,3,3,5.0,1300.0,,,,,2022-11-07,2023-01-06,LK-11,true,premium,July 2018,Not mentioned in ad
3-bedroom-apartment-for-sale-in-nuwara-eliya-for-sale-nuwara-eliya,3 Bedroom Apartment for sale in Nuwara Eliya,3 Bedroom + 3 attached bathrooms 1245 sqft apartment for sale in Nuwara Eliya for Rs. 43 million PROPERTIES @ SHALANKA DOT COM,sale,apartment,Apartments For Sale,Nuwara Eliya,Nuwara Eliya City,"5/2, Broom Field Avenue",43000000.0,total,43000000.0,,3,3,,,1245.0,,,,2022-11-10,2023-01-08,LK-23,false,plus,October 2019,Not mentioned in ad
se448-luxury-two-storey-house-for-sale-in-thalawathugoda-for-sale-colombo-1,(SE448) Luxury Two Storey House for Sale in Thalawathugoda,(SE448) NEW LUXURY 2 STOREY HOUSE FOR SALE IN THALAWATHUGODA VIDYALALOKA MAWATH HIGHLY RESIDENTIAL AREA Face to 20 Feet Road. ◼ 5 BEDROOMS ◼ 4 BATHROOMS WITH HOT WA...,sale,house,Houses For Sale,Colombo,Talawatugoda,THALAWATHUGODA VIDYALALOKA MAWATH,50000000.0,total,50000000.0,,5,4,8.0,3000.0,,,,,2023-03-12,2023-05-11,LK-11,true,premium,December 2020,Not mentioned in ad
hoomaagm-kirivttudduven-10-perch-iddmk-vikinniimtt-for-sale-colombo,හෝමාගම කිරිවත්තුඩුවෙන් 10 perch ඉඩමක් විකිණීමට,🚨 හෝමාගම කිරිවත්තුඩුවෙන් 10perch ඉඩමක් විකිණීමට ඇත ⭕ කිරිවත්තුඩුව හන්දියට 300m ⭕ කොට්ටාව - පින්නකොළ වත්ත (128 Bus Route ) බස් මාර්ගයට මුහුණලා ඇත නිරවුල් ලියකියවිලි...,sale,land,Land For Sale,Colombo,Homagama,හෝමාගම කිරිවත්තුඩුව,525000.0,per_perch,5250000.0,,,,10.0,,,"Commercial, Residential",,,2023-02-07,2023-04-04,LK-11,false,free,December 2022,Not mentioned in ad
sa133two-story-house-for-sale-in-homagama-for-sale-colombo-1,(SA133)Two Story House for Sale in Homagama,(SA133)TWO STORY HOUSE FOR SALE IN HOMAGAMA HIGHLY RESIDENTIAL AREA facing 20ft road 👉 4 BEDROOMS 👉 2 BATHROOM 👉 8 PERCHES 👉 2500 SQFT ************ 4 Bed rooms...,sale,house,Houses For Sale,Colombo,Homagama,HOMAGAMA,28500000.0,total,28500000.0,,4,2,8.0,2500.0,,,,,2022-12-03,2023-02-01,LK-11,true,premium,December 2018,Not mentioned in ad
12p-superb-land-for-sale-at-kalalgoda-thalawathugoda-for-rent-colombo,"12P Superb Land for Sale at Kalalgoda, Thalawathugoda","THALAWATHUGODA, KALALGODA 12P Superb Land for Sale at Kalalgoda, Thalawathugoda Square shaped land facing 20ft wide access road High Residential area Peaceful surroundin...",rent,land,Land,Colombo,Talawatugoda,"Weera Mawatha, Kalalgoda",1650000.0,per_year,,137500.0,,,12.5,,,Residential,,,2022-11-18,2023-01-17,LK-11,true,premium,September 2017,Not mentioned in ad
upstair-apartment-for-rent-kurunegala-for-rent-kurunegala,Upstair Apartment for Rent Kurunegala,50m to kurunegala-kandy main road 2km to kurunegala-kandy highway entrance 4.5km to kurunegala town Very calm residencial area Suitable for newly married couple With fur...,rent,apartment,Apartment Rentals,Kurunegala,Kurunegala City,"No 39, Mary Mount Park, Millawa, Kandy Road, Kurunegala",32000.0,per_month,,32000.0,3,1,,,1500.0,,,,2023-01-26,2023-03-27,LK-61,false,free,,Not mentioned in ad
